----------------------------------------
Global Perplexity over 521 songs: 1.1616
----------------------------------------

Pachelbel_Suite_Dmin_4Gigue: tokens=291, perplexity=1.2967
Paco_de_Lucia_Sortilegio: tokens=445, perplexity=1.3034
Paganini_Ghiribizzi_MS43_No1: tokens=65, perplexity=1.2549
Paganini_Ghiribizzi_MS43_No14: tokens=572, perplexity=1.0429
Paganini_MS84_37sonates_No22: tokens=301, perplexity=1.1336
Paganini_MS84_37sonates_No25: tokens=442, perplexity=1.1374
Paganini_MS84_37sonates_No3: tokens=756, perplexity=1.1045
Paganini_MS84_37sonates_No32: tokens=441, perplexity=1.1046
Paganini_MS85_Sonates_No4: tokens=1023, perplexity=1.1720
Paganini_Sonata_MS86: tokens=311, perplexity=1.1249
Paganini_Tarantella: tokens=1023, perplexity=1.1630
Pellegrini_Allemanda: tokens=231, perplexity=1.1849
Pellegrini_Balleto: tokens=481, perplexity=1.1030
Pellegrini_Corrente: tokens=267, perplexity=1.0934
Pellegrini_Sarabande: tokens=163, perplexity=1.0722
Pellegrini_Toccatta: tokens=368, perplexity=1.2158
Pernambuco_Mimoso: tokens=1023, perplexity=1.1243
Piazzola_Otono_Porteno: tokens=1021, perplexity=1.2654
Piazzolla_Cinco_Piezas_No3_Acentuado: tokens=630, perplexity=1.3040
Piazzolla_Fuga_Misterio: tokens=541, perplexity=1.2623
Piazzolla_Histoire_du_Tango_Bordel_1900: tokens=1023, perplexity=1.1871
Piazzolla_Histoire_du_Tango_Concert_Aujourd'hui: tokens=1023, perplexity=1.2694
Piazzolla_Histoire_du_Tango_Nightclub_1960: tokens=1020, perplexity=1.2132
Piazzolla_Tango_No2: tokens=1023, perplexity=1.2590
Piazzolla_Tango_Suite_No1: tokens=1016, perplexity=1.1872
Ponce_Concierto_del_Sur-I-Allegretto: tokens=1023, perplexity=1.1094
Ponce_Prelude_No1: tokens=239, perplexity=1.3454
Ponce_Sonata_Romantica_Allegretto_vivo: tokens=1019, perplexity=1.1286
Ponce_Sonata_clasica_Menuet_Trio: tokens=862, perplexity=1.1394
Powell_Cancao_Amor_Ausente: tokens=744, perplexity=1.1466
Powell_Canto_Ossanha: tokens=511, perplexity=1.1512
PujolM_Imagenes_Abril_Ausencia: tokens=755, perplexity=1.1813
Pujol_Atardecer: tokens=639, perplexity=1.1555
Pujol_Estudio_No11: tokens=249, perplexity=1.1133
Pujol_Estudio_No29: tokens=92, perplexity=1.2013
Pujol_Estudio_No4: tokens=85, perplexity=1.4105
Purcell_Queen's_Dolour: tokens=162, perplexity=1.2738
Ravel_Menuet_Tombeau_Couperin: tokens=1023, perplexity=1.1520
Regondi_Etude_No2: tokens=1017, perplexity=1.2942
Reis_Penumbra: tokens=568, perplexity=1.1326
Reis_Sobradinho: tokens=593, perplexity=1.1490
Reiss_Dois_Destinos: tokens=771, perplexity=1.1901
Reiss_E_Tao_Tarde: tokens=599, perplexity=1.1346
Reiss_Magoado_2guitares: tokens=1023, perplexity=1.0802
Reiss_Noite_Luna: tokens=1016, perplexity=1.0825
Reiss_Se_Ela_Purguntar: tokens=536, perplexity=1.0864
Reiss_Sinhazinha: tokens=866, perplexity=1.0946
Riera_4_Venezuelan_Pieces_1Melancolia: tokens=225, perplexity=1.1505
Riera_4_Venezuelan_Pieces_2Monotonia: tokens=207, perplexity=1.1600
Riera_4_Venezuelian_Pieces_3Nostalgia: tokens=167, perplexity=1.1386
Riera_4_Venezuelian_Pieces_4Valse: tokens=618, perplexity=1.0892
Riera_Cancion_Carorena: tokens=491, perplexity=1.1583
Riera_Choro: tokens=522, perplexity=1.1678
Riera_Little_Suite_1Cancion: tokens=205, perplexity=1.2127
