----------------------------------------
Global Perplexity over 521 songs: 1.6624
----------------------------------------

Regondi_Etude_No2: tokens=1023, perplexity=2.1327
Reis_Penumbra: tokens=568, perplexity=1.6756
Reis_Sobradinho: tokens=593, perplexity=1.6886
Reiss_Dois_Destinos: tokens=771, perplexity=1.7704
Reiss_E_Tao_Tarde: tokens=599, perplexity=1.5776
Reiss_Magoado_2guitares: tokens=1023, perplexity=1.6031
Reiss_Noite_Luna: tokens=1016, perplexity=1.3198
Reiss_Se_Ela_Purguntar: tokens=536, perplexity=1.4538
Reiss_Sinhazinha: tokens=866, perplexity=1.3839
Riera_4_Venezuelan_Pieces_1Melancolia: tokens=225, perplexity=1.3676
Riera_4_Venezuelan_Pieces_2Monotonia: tokens=207, perplexity=1.5590
Riera_4_Venezuelian_Pieces_3Nostalgia: tokens=167, perplexity=1.4853
Riera_4_Venezuelian_Pieces_4Valse: tokens=618, perplexity=1.4880
Riera_Cancion_Carorena: tokens=491, perplexity=1.6769
Riera_Choro: tokens=522, perplexity=1.8744
Riera_Little_Suite_1Cancion: tokens=205, perplexity=1.5986
